booking_id,booking_date,customer_id,customer_name,city,service_type,payment_mode,booking_amount,booking_status
1,2025-04-13,4642,Customer_4054,Hyderabad,Train,Net Banking,20048.41,Confirmed
2,2025-12-15,3609,Customer_5410,Hyderabad,Train,Debit Card,14800.97,Confirmed
3,2025-09-28,2430,Customer_7189,Chennai,Hotel,Debit Card,11798.18,Cancelled
4,2025-04-17,2913,Customer_947,Delhi,Hotel,Debit Card,22417.96,Confirmed
5,2025-03-13,1757,Customer_3209,Chennai,Flight,Net Banking,20211.65,Cancelled
6,2025-07-08,3134,Customer_1994,Bangalore,Train,Net Banking,13161.33,Confirmed
7,2025-01-21,2912,Customer_3441,Kolkata,Bus,Credit Card,7127.02,Pending
8,2025-04-13,2739,Customer_1546,Hyderabad,Bus,UPI,4108.35,Pending
9,2025-05-02,4217,Customer_7988,Kolkata,Bus,Debit Card,14041.29,Confirmed
10,2025-08-03,5756,Customer_4653,Hyderabad,Train,Credit Card,7752.74,Confirmed
11,2025-11-27,2134,Customer_3508,Hyderabad,Train,Net Banking,6973.29,Confirmed
12,2025-03-29,4712,Customer_6905,Chennai,Hotel,Credit Card,3091.76,Confirmed
13,2025-04-10,1764,Customer_30,Kolkata,Flight,Credit Card,1344.58,Confirmed
14,2025-12-26,3725,Customer_1472,Mumbai,Train,Net Banking,19692.17,Confirmed
15,2025-06-01,4368,Customer_6369,Chennai,Bus,UPI,3145.63,Confirmed
16,2025-05-11,4497,Customer_1410,Kolkata,Train,Net Banking,22270.93,Confirmed
17,2025-05-30,2672,Customer_3761,Hyderabad,Flight,Debit Card,5737.68,Confirmed
18,2025-11-05,4405,Customer_3680,Delhi,Train,Credit Card,19112.05,Cancelled
19,2025-09-15,1582,Customer_6573,Delhi,Flight,Debit Card,20663.49,Confirmed
20,2025-12-10,5766,Customer_529,Pune,Hotel,Credit Card,19917.62,Cancelled
21,2025-10-21,5633,Customer_5148,Kolkata,Flight,Credit Card,21884.97,Confirmed
22,2025-07-11,2821,Customer_126,Chennai,Bus,Debit Card,8823.16,Confirmed
23,2025-10-04,2185,Customer_4909,Pune,Train,Credit Card,24654.27,Confirmed
24,2025-06-10,5525,Customer_3857,Pune,Train,Net Banking,7350.07,Cancelled
25,2025-11-10,2637,Customer_6643,Chennai,Bus,Net Banking,23390.3,Cancelled
26,2025-01-22,3180,Customer_3259,Pune,Flight,Credit Card,11217.28,Confirmed
27,2025-09-10,1188,Customer_654,Bangalore,Train,Credit Card,1894.83,Confirmed
28,2025-08-24,2746,Customer_7540,Chennai,Train,Net Banking,19730.45,Cancelled
29,2025-12-11,4826,Customer_4234,Pune,Flight,UPI,19791.57,Confirmed
30,2025-02-18,3620,Customer_7138,Pune,Flight,Credit Card,5333.8,Confirmed
31,2025-02-28,4945,Customer_5457,Chennai,Flight,Net Banking,20676.05,Confirmed
32,2025-06-19,3326,Customer_741,Hyderabad,Train,UPI,4360.7,Confirmed
33,2025-07-07,2184,Customer_2262,Pune,Bus,UPI,4210.08,Confirmed
34,2025-09-28,3793,Customer_7954,Mumbai,Bus,Debit Card,20318.52,Cancelled
35,2025-07-09,3946,Customer_291,Hyderabad,Hotel,UPI,7610.37,Pending
36,2025-06-24,3500,Customer_2992,Mumbai,Flight,Credit Card,2383.51,Confirmed
37,2025-02-20,5946,Customer_3642,Hyderabad,Bus,UPI,23930.43,Confirmed
38,2025-12-30,1169,Customer_6515,Kolkata,Flight,Debit Card,14147.48,Pending
39,2025-02-24,5925,Customer_2578,Hyderabad,Train,Net Banking,11477.9,Cancelled
40,2025-09-01,3745,Customer_2740,Bangalore,Bus,Debit Card,12850.7,Confirmed
41,2025-11-16,2080,Customer_1694,Pune,Train,Net Banking,16926.03,Confirmed
42,2025-05-11,2263,Customer_5888,Kolkata,Hotel,Credit Card,21610.82,Cancelled
43,2025-11-03,5864,Customer_4645,Mumbai,Bus,Net Banking,16978.18,Cancelled
44,2025-05-15,5453,Customer_1320,Hyderabad,Bus,UPI,18618.4,Cancelled
45,2025-01-21,3248,Customer_2822,Hyderabad,Hotel,Net Banking,4913.75,Pending
46,2025-11-25,4908,Customer_3663,Mumbai,Flight,UPI,9910.28,Confirmed
47,2025-06-16,2325,Customer_7161,Kolkata,Bus,Debit Card,14827.84,Confirmed
48,2025-10-01,4177,Customer_6563,Bangalore,Hotel,Debit Card,15675.46,Confirmed
49,2025-03-30,4873,Customer_7834,Mumbai,Train,Net Banking,7131.98,Cancelled
50,2025-11-12,3148,Customer_6505,Bangalore,Hotel,Debit Card,24387.07,Confirmed
51,2025-01-14,2688,Customer_3230,Kolkata,Train,Debit Card,3395.56,Cancelled
52,2025-08-30,3985,Customer_5195,Bangalore,Hotel,Debit Card,3250.82,Confirmed
53,2025-09-22,3076,Customer_1396,Delhi,Bus,UPI,6114.18,Cancelled
54,2025-12-12,2529,Customer_2968,Bangalore,Flight,Net Banking,18970.87,Confirmed
55,2025-02-22,2461,Customer_3962,Delhi,Bus,UPI,1395.51,Cancelled
56,2025-12-06,2402,Customer_2615,Pune,Bus,Net Banking,24702.71,Confirmed
57,2025-04-02,1072,Customer_6862,Chennai,Train,UPI,24699.37,Pending
58,2025-09-21,5349,Customer_6871,Bangalore,Bus,Credit Card,4412.26,Confirmed
59,2025-02-04,5034,Customer_1545,Mumbai,Hotel,Credit Card,10329.48,Cancelled
60,2025-07-25,5611,Customer_5226,Delhi,Flight,Credit Card,5495.97,Confirmed
61,2025-03-22,3796,Customer_3902,Kolkata,Bus,UPI,10496.37,Cancelled
62,2025-02-19,5516,Customer_6511,Kolkata,Flight,Net Banking,13555.14,Confirmed
63,2025-12-26,3493,Customer_4498,Chennai,Train,UPI,20656.93,Confirmed
64,2025-01-02,5974,Customer_1781,Pune,Bus,Net Banking,1377.28,Cancelled
65,2025-02-23,5231,Customer_7987,Chennai,Flight,Credit Card,24678.99,Confirmed
66,2025-04-16,4576,Customer_2151,Bangalore,Hotel,UPI,23543.79,Confirmed
67,2025-09-17,1032,Customer_4883,Mumbai,Flight,Net Banking,14475.22,Confirmed
68,2025-11-06,3694,Customer_6469,Bangalore,Hotel,Net Banking,12281.96,Confirmed
69,2025-07-10,5373,Customer_4469,Hyderabad,Hotel,Debit Card,13990.8,Confirmed
70,2025-08-06,5845,Customer_4434,Chennai,Train,Net Banking,951.8,Confirmed
71,2025-02-13,4598,Customer_7035,Hyderabad,Flight,Credit Card,18573.23,Confirmed
72,2025-06-11,3392,Customer_1057,Hyderabad,Bus,UPI,12662.68,Confirmed
73,2025-07-21,5112,Customer_7276,Delhi,Bus,Debit Card,7507.98,Confirmed
74,2025-09-27,3871,Customer_1446,Kolkata,Bus,Credit Card,11807.82,Confirmed
75,2025-12-17,3677,Customer_5389,Hyderabad,Bus,UPI,7667.91,Confirmed
76,2025-10-31,2401,Customer_1969,Chennai,Flight,UPI,17648.79,Confirmed
77,2025-09-28,1817,Customer_1097,Chennai,Train,Debit Card,15553.64,Confirmed
78,2025-08-03,2660,Customer_1882,Mumbai,Bus,Credit Card,10008.27,Confirmed
79,2025-09-09,5562,Customer_1205,Bangalore,Bus,UPI,8198.93,Confirmed
